contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250620C00005000,2025-06-17 16:20:02+00:00,5.0,191.5,190.25,191.1,-2.100006,-1.0847138,5,826,12.875001953125,True,REGULAR,USD
AAPL250620C00010000,2025-06-09 17:59:26+00:00,10.0,192.64,184.7,186.6,0.0,0.0,40,51,9.125004296875,True,REGULAR,USD
AAPL250620C00015000,2025-06-16 13:43:24+00:00,15.0,181.93,179.7,181.7,0.0,0.0,2,3,9.28125419921875,True,REGULAR,USD
AAPL250620C00020000,2025-06-03 13:50:53+00:00,20.0,183.0,174.7,176.65,0.0,0.0,1,6,7.7500003125,True,REGULAR,USD
AAPL250620C00025000,2025-06-13 18:58:54+00:00,25.0,171.33,169.7,171.7,0.0,0.0,4,2,7.37500078125,True,REGULAR,USD
AAPL250620C00030000,2025-06-17 19:01:00+00:00,30.0,165.57,165.2,166.15,-4.6799927,-2.7488945,5,1,6.37500203125,True,REGULAR,USD
AAPL250620C00035000,2025-06-17 19:01:00+00:00,35.0,160.62,160.15,161.25,-1.4400024,-0.8885613,5,2,6.1562523046874995,True,REGULAR,USD
AAPL250620C00040000,2025-06-13 14:01:55+00:00,40.0,157.05,154.75,156.65,0.0,0.0,4,1,5.687502890625,True,REGULAR,USD
AAPL250620C00045000,2025-06-13 14:01:55+00:00,45.0,152.05,149.7,151.7,0.0,0.0,2,4,5.265628417968749,True,REGULAR,USD
AAPL250620C00050000,2025-06-16 19:02:37+00:00,50.0,148.25,145.15,146.05,0.0,0.0,84,1352,6.230470961914062,True,REGULAR,USD
AAPL250620C00055000,2025-06-16 17:19:21+00:00,55.0,142.46,139.8,141.65,0.0,0.0,2,358,4.7500040624999995,True,REGULAR,USD
AAPL250620C00060000,2025-06-10 19:22:59+00:00,60.0,143.05,134.85,136.6,0.0,0.0,4,337,4.437504453124999,True,REGULAR,USD
AAPL250620C00065000,2025-06-10 19:22:59+00:00,65.0,138.08,129.8,131.7,0.0,0.0,4,220,4.265629667968749,True,REGULAR,USD
AAPL250620C00070000,2025-06-02 15:09:26+00:00,70.0,131.35,124.75,126.65,0.0,0.0,2,304,3.7343756640625,True,REGULAR,USD
AAPL250620C00075000,2025-06-13 13:52:19+00:00,75.0,123.58,119.8,121.7,0.0,0.0,1,303,3.74218814453125,True,REGULAR,USD
AAPL250620C00080000,2025-06-13 13:53:30+00:00,80.0,117.25,114.8,116.65,0.0,0.0,10,339,3.3984390039062498,True,REGULAR,USD
AAPL250620C00085000,2025-06-16 19:03:28+00:00,85.0,113.0,110.0,111.65,0.0,0.0,3,701,3.5039074902343748,True,REGULAR,USD
